url,recipe_name,ingredient_raw,ingredient_key,quantity,unit
https://www.seriouseats.com/best-easy-apple-crisp-crumble-recipe,The Best Apple Crisp,100g all-purpose flour (3 3/4 ounces; about 3/4 cup),100g all-purpose flour (3 3/4 ounces; about 3/4 cup),0.0,
https://www.seriouseats.com/best-easy-apple-crisp-crumble-recipe,The Best Apple Crisp,"165g raw sugar, such as turbinado (5 3/4 ounces; about 3/4 cup)","165g raw sugar, such as turbinado (5 3/4 ounces; about 3/4 cup)",0.0,
https://www.seriouseats.com/best-easy-apple-crisp-crumble-recipe,The Best Apple Crisp,1 tablespoon freshly grated zest from 1 lemon,freshly grated zest from 1 lemon,1.0,tbsp
https://www.seriouseats.com/best-easy-apple-crisp-crumble-recipe,The Best Apple Crisp,1 1/2 teaspoons freshly grated nutmeg (see note),freshly grated nutmeg (see note),1.5,tsp
https://www.seriouseats.com/best-easy-apple-crisp-crumble-recipe,The Best Apple Crisp,1 teaspoon (4g) kosher salt,(4g) kosher salt,1.0,tsp
https://www.seriouseats.com/best-easy-apple-crisp-crumble-recipe,The Best Apple Crisp,100g toasted pecans (3 3/4 ounces; about 1 cup),100g toasted pecans (3 3/4 ounces; about 1 cup),0.0,
https://www.seriouseats.com/best-easy-apple-crisp-crumble-recipe,The Best Apple Crisp,"145g unsalted butter (5 ounces; 10 tablespoons), cut into small cubes and chilled","145g unsalted butter (5 ounces; 10 tablespoons), cut into small cubes and chilled",0.0,
https://www.seriouseats.com/best-easy-apple-crisp-crumble-recipe,The Best Apple Crisp,"4 apples (preferably a mix of firm, tart Fuji and Jonagold as well as softer Golden Delicious), skin on, cored and diced","apples (preferably a mix of firm, tart fuji and jonagold as well as softer golden delicious), skin on, cored and diced",4.0,
https://www.seriouseats.com/best-easy-apple-crisp-crumble-recipe,The Best Apple Crisp,3 tablespoons sugar,sugar,3.0,tbsp
https://www.seriouseats.com/best-easy-apple-crisp-crumble-recipe,The Best Apple Crisp,1 tablespoon cornstarch,cornstarch,1.0,tbsp
https://www.seriouseats.com/best-easy-apple-crisp-crumble-recipe,The Best Apple Crisp,1/2 teaspoon (2g) kosher salt,(2g) kosher salt,0.5,tsp
https://www.seriouseats.com/best-easy-apple-crisp-crumble-recipe,The Best Apple Crisp,"2 tablespoons (30ml) bourbon, rye, or Scotch","(30ml) bourbon, rye, or scotch",2.0,tbsp
https://www.seriouseats.com/extra-crispy-bar-style-tortilla-pizza-recipe,Extra-Crispy Bar-Style Tortilla Pizza,"1/2 teaspoon extra-virgin olive oil, plus more for drizzling","extra-virgin olive oil, plus more for drizzling",0.5,tsp
https://www.seriouseats.com/extra-crispy-bar-style-tortilla-pizza-recipe,Extra-Crispy Bar-Style Tortilla Pizza,1 (10-inch) flour tortilla,(10-inch) flour tortilla,1.0,
